race_id,driver_id,constructor_id,grid,position_order,points,laps,status,qualifying_position,q1,q2,q3,winner,podium,dnf,q1_sec,q2_sec,q3_sec,best_quali_time,season,round,driver_avg_finish_last3,driver_avg_finish_last5,driver_avg_finish_last10,driver_prev_wins,driver_prev_podiums,driver_dnf_rate,constructor_avg_finish_last5,constructor_prev_wins,constructor_prev_podiums,finish_change,momentum_last3,avg_quali_last5,quali_change,name,circuitId,name_circuit,country,driver_track_avg_finish,driver_track_wins,driver_track_podiums,driver_track_dnf_rate,constructor_track_avg_finish,constructor_track_wins,constructor_track_dnf_rate,driver_prev_races,career_win_rate,career_podium_rate,driver_momentum,driver_points_before_race,driver_rank_before_race,constructor_points_before_race,constructor_rank_before_race,driver_points_last5,driver_points_last10,constructor_points_last5,grid_gain,avg_quali_last3,previous_poles,top10
2008_1,alonso,renault,11.0,4,5.0,58,Finished,12.0,1:26.907,1:26.188,\N,0,0,0,86.907,86.188,87.1785,86.188,2008,1,11.333333333333334,11.4,11.4,0.0,3.0,0.4742857142857143,11.4,0.0,6.0,0.0,0.0,11.0,0.0,Australian Grand Prix,1,Albert Park Grand Prix Circuit,Australia,10.207142857142856,0.0,0.0,0.4,11.166666666666666,0.0,0.4444444444444444,0,0.0,0.045454545454545456,-7.557076827370364e-16,18.0,10.0,35.0,9.0,11.0,22.0,11.0,1.0,11.0,0,1
2008_1,barrichello,honda,10.0,22,0.0,58,Disqualified,11.0,1:26.369,1:26.173,\N,0,0,1,86.369,86.173,87.1785,86.173,2008,1,11.333333333333334,11.4,11.4,0.0,3.0,0.4742857142857143,11.4,0.0,6.0,0.0,0.0,11.0,0.0,Australian Grand Prix,1,Albert Park Grand Prix Circuit,Australia,10.207142857142856,0.0,0.0,0.4,11.166666666666666,0.0,0.4444444444444444,0,0.0,0.045454545454545456,-7.557076827370364e-16,18.0,10.0,35.0,9.0,11.0,22.0,11.0,1.0,11.0,0,0
2008_1,bourdais,toro_rosso,17.0,7,2.0,55,Engine,18.0,1:27.446,\N,\N,0,0,1,87.446,87.456,87.1785,87.446,2008,1,11.333333333333334,11.4,11.4,0.0,3.0,0.4742857142857143,11.2,0.0,0.0,0.0,0.0,11.0,0.0,Australian Grand Prix,1,Albert Park Grand Prix Circuit,Australia,10.207142857142856,0.0,0.0,0.4,11.166666666666666,0.0,0.4444444444444444,0,0.0,0.045454545454545456,-7.557076827370364e-16,18.0,10.0,35.0,9.0,11.0,22.0,11.0,1.0,11.0,0,1
2008_1,button,honda,12.0,18,0.0,0,Collision,13.0,1:26.712,1:26.259,\N,0,0,1,86.712,86.259,87.1785,86.259,2008,1,11.333333333333334,11.4,11.4,0.0,3.0,0.4742857142857143,15.0,0.0,1.0,0.0,0.0,11.0,0.0,Australian Grand Prix,1,Albert Park Grand Prix Circuit,Australia,10.207142857142856,0.0,0.0,0.4,22.0,0.0,1.0,0,0.0,0.045454545454545456,-7.557076827370364e-16,18.0,10.0,0.0,6.0,11.0,22.0,0.0,1.0,11.0,0,0
2008_1,coulthard,red_bull,8.0,14,0.0,25,Collision,8.0,1:26.381,1:26.063,1:29.041,0,0,1,86.381,86.063,89.041,86.063,2008,1,11.333333333333334,11.4,11.4,0.0,3.0,0.4742857142857143,7.0,0.0,2.0,0.0,0.0,11.0,0.0,Australian Grand Prix,1,Albert Park Grand Prix Circuit,Australia,10.207142857142856,0.0,0.0,0.4,11.166666666666666,0.0,0.4444444444444444,0,0.0,0.045454545454545456,-7.557076827370364e-16,18.0,10.0,35.0,9.0,11.0,22.0,11.0,0.0,11.0,0,0
2008_1,davidson,super_aguri,21.0,19,0.0,0,Collision,22.0,1:29.059,\N,\N,0,0,1,89.059,87.456,87.1785,89.059,2008,1,11.333333333333334,11.4,11.4,0.0,3.0,0.4742857142857143,11.4,0.0,6.0,0.0,0.0,11.0,0.0,Australian Grand Prix,1,Albert Park Grand Prix Circuit,Australia,10.207142857142856,0.0,0.0,0.4,11.166666666666666,0.0,0.4444444444444444,0,0.0,0.045454545454545456,-7.557076827370364e-16,18.0,10.0,35.0,9.0,11.0,22.0,11.0,1.0,11.0,0,0
2008_1,fisichella,force_india,16.0,21,0.0,0,Collision,17.0,1:27.207,\N,\N,0,0,1,87.207,87.456,87.1785,87.207,2008,1,11.333333333333334,11.4,11.4,0.0,3.0,0.4742857142857143,11.4,0.0,6.0,0.0,0.0,11.0,0.0,Australian Grand Prix,1,Albert Park Grand Prix Circuit,Australia,10.207142857142856,0.0,0.0,0.4,11.166666666666666,0.0,0.4444444444444444,0,0.0,0.045454545454545456,-7.557076827370364e-16,18.0,10.0,35.0,9.0,11.0,22.0,11.0,1.0,11.0,0,0
2008_1,glock,toyota,18.0,10,0.0,43,Accident,9.0,1:26.919,1:26.164,1:29.593,0,0,1,86.919,86.164,89.593,86.164,2008,1,11.333333333333334,11.4,11.4,0.0,3.0,0.4742857142857143,11.4,0.0,6.0,0.0,0.0,11.0,0.0,Australian Grand Prix,1,Albert Park Grand Prix Circuit,Australia,10.207142857142856,0.0,0.0,0.4,11.166666666666666,0.0,0.4444444444444444,0,0.0,0.045454545454545456,-7.557076827370364e-16,18.0,10.0,35.0,9.0,11.0,22.0,11.0,-9.0,11.0,0,1
2008_1,hamilton,mclaren,1.0,1,10.0,58,Finished,1.0,1:26.572,1:25.187,1:26.714,1,1,0,86.572,85.187,86.714,85.187,2008,1,11.333333333333334,11.4,11.4,0.0,3.0,0.4742857142857143,15.0,8.0,26.0,0.0,0.0,11.0,0.0,Australian Grand Prix,1,Albert Park Grand Prix Circuit,Australia,10.207142857142856,0.0,0.0,0.4,11.166666666666666,0.0,0.4444444444444444,0,0.0,0.045454545454545456,-7.557076827370364e-16,18.0,10.0,35.0,9.0,11.0,22.0,11.0,0.0,11.0,0,1
2008_1,heidfeld,bmw_sauber,5.0,2,8.0,58,Finished,5.0,1:25.960,1:25.518,1:27.236,0,1,0,85.96000000000001,85.518,87.236,85.518,2008,1,11.333333333333334,11.4,11.4,0.0,3.0,0.4742857142857143,11.4,0.0,6.0,0.0,0.0,11.0,0.0,Australian Grand Prix,1,Albert Park Grand Prix Circuit,Australia,10.207142857142856,0.0,0.0,0.4,11.166666666666666,0.0,0.4444444444444444,0,0.0,0.045454545454545456,-7.557076827370364e-16,18.0,10.0,35.0,9.0,11.0,22.0,11.0,0.0,11.0,0,1
2008_1,kovalainen,mclaren,3.0,5,4.0,58,Finished,3.0,1:25.664,1:25.452,1:27.079,0,0,0,85.664,85.452,87.07900000000001,85.452,2008,1,11.333333333333334,11.4,11.4,0.0,3.0,0.4742857142857143,10.0,25.0,64.0,0.0,0.0,11.0,0.0,Australian Grand Prix,1,Albert Park Grand Prix Circuit,Australia,10.207142857142856,0.0,0.0,0.4,1.0,1.0,0.0,0,0.0,0.045454545454545456,-7.557076827370364e-16,18.0,10.0,10.0,1.0,11.0,22.0,10.0,0.0,11.0,0,1
2008_1,kubica,bmw_sauber,2.0,9,0.0,47,Collision,2.0,1:26.103,1:25.315,1:26.869,0,0,1,86.10300000000001,85.315,86.869,85.315,2008,1,11.333333333333334,11.4,11.4,0.0,3.0,0.4742857142857143,10.8,0.0,5.0,0.0,0.0,11.0,0.0,Australian Grand Prix,1,Albert Park Grand Prix Circuit,Australia,10.207142857142856,0.0,0.0,0.4,2.0,0.0,0.0,0,0.0,0.045454545454545456,-7.557076827370364e-16,18.0,10.0,8.0,2.0,11.0,22.0,8.0,0.0,11.0,0,1
2008_1,massa,ferrari,4.0,13,0.0,29,Engine,4.0,1:25.994,1:25.691,1:27.178,0,0,1,85.994,85.691,87.178,85.691,2008,1,11.333333333333334,11.4,11.4,0.0,3.0,0.4742857142857143,4.0,19.0,98.0,0.0,0.0,11.0,0.0,Australian Grand Prix,1,Albert Park Grand Prix Circuit,Australia,10.207142857142856,0.0,0.0,0.4,11.166666666666666,0.0,0.4444444444444444,0,0.0,0.045454545454545456,-7.557076827370364e-16,18.0,10.0,35.0,9.0,11.0,22.0,11.0,0.0,11.0,0,0
2008_1,nakajima,williams,13.0,6,3.0,57,+1 Lap,14.0,1:26.891,1:26.413,\N,0,0,1,86.89099999999999,86.413,87.1785,86.413,2008,1,11.333333333333334,11.4,11.4,0.0,3.0,0.4742857142857143,9.4,1.0,15.0,0.0,0.0,11.0,0.0,Australian Grand Prix,1,Albert Park Grand Prix Circuit,Australia,10.207142857142856,0.0,0.0,0.4,11.166666666666666,0.0,0.4444444444444444,0,0.0,0.045454545454545456,-7.557076827370364e-16,18.0,10.0,35.0,9.0,11.0,22.0,11.0,1.0,11.0,0,1
2008_1,piquet_jr,renault,20.0,12,0.0,30,Clutch,21.0,1:28.330,\N,\N,0,0,1,88.33,87.456,87.1785,88.33,2008,1,11.333333333333334,11.4,11.4,0.0,3.0,0.4742857142857143,13.2,2.0,10.0,0.0,0.0,11.0,0.0,Australian Grand Prix,1,Albert Park Grand Prix Circuit,Australia,10.207142857142856,0.0,0.0,0.4,4.0,0.0,0.0,0,0.0,0.045454545454545456,-7.557076827370364e-16,18.0,10.0,5.0,3.0,11.0,22.0,5.0,1.0,11.0,0,0
